numcla;sous-cas;nbepoch;numbase;moteur;batch-size;dimx;dimy;ndense
16330;1;88;16300;2;8;500;128;512
16400;1;80;16400;2;8;500;128;512
16410;1;89;16400;2;8;500;128;512
16420;1;88;16400;2;8;500;128;512
16430;1;89;16400;2;8;500;128;512
11250;1;85;11200;2;8;500;128;512
11251;1;85;11200;2;8;500;128;512
11850;1;90;11820;2;8;500;128;512
11851;1;70;11820;2;8;500;128;512
11851;2;86;11820;2;8;500;128;512
11245;1;85;11200;2;8;500;128;512
11245;2;87;11200;2;8;500;128;512
11260;1;85;11200;2;8;500;128;512
11260;2;87;11200;2;8;500;128;512
11260;3;89;11200;2;8;500;128;512
11247;1;74;11247;2;8;500;128;512
11248;1;73;11247;2;8;500;128;512
10200;1;71;10200;2;8;500;128;512
10200;2;81;10200;2;8;500;128;512
10200;3;49;10200;2;8;500;128;512
16500;1;84;16400;2;8;500;128;512
16600;1;76;16100;2;8;500;128;512
16700;1;74;16400;2;8;500;128;512
15260;1;77;15260;2;8;500;128;512
11870;1;77;11820;2;8;500;128;512
11870;2;78;11820;2;8;500;128;512
11870;3;86;11820;2;8;500;128;512
11870;4;90;11820;2;8;500;128;512
11860;1;81;11860;2;8;500;128;512
16510;1;88;16510;2;8;500;128;512
16610;1;86;16610;2;8;500;128;512
16710;1;80;16710;2;8;500;128;512
11880;1;80;11860;2;8;500;128;512
15270;1;67;13100;2;8;500;128;512
15270;2;88;13100;2;8;500;128;512
15270;3;90;13100;2;8;500;128;512
11890;1;81;11820;2;8;500;128;512
11890;2;97;11820;2;8;500;128;512
11890;3;98;11820;2;8;500;128;512
11890;4;99;11820;2;8;500;128;512
11892;1;98;11820;2;8;500;128;512
11894;1;95;11820;2;8;500;128;512
11895;1;96;11820;2;8;500;128;512
11896;1;76;11820;2;8;500;128;512
11896;2;99;11820;2;8;500;128;512
10210;1;90;10210;2;8;500;128;512
11893;1;81;11820;2;8;500;128;512
11893;2;93;11820;2;8;500;128;512
11893;3;94;11820;2;8;500;128;512
11893;4;98;11820;2;8;500;128;512
11750;1;85;11820;2;8;500;128;512
11750;2;93;11820;2;8;500;128;512
11752;1;96;11820;2;8;500;128;512
11753;1;75;11820;2;8;500;128;512
15300;1;72;13100;2;8;500;128;512
11760;1;70;11820;2;8;500;128;512
11760;2;71;11820;2;8;500;128;512
11760;3;87;11820;2;8;500;128;512
11760;4;96;11820;2;8;500;128;512
11760;5;98;11820;2;8;500;128;512
11770;1;80;11820;2;8;500;128;512
11770;2;90;11820;2;8;500;128;512
15280;1;97;13100;2;8;500;128;512
15301;1;76;13100;2;8;500;128;512
15301;2;81;13100;2;8;500;128;512
15301;3;84;13100;2;8;500;128;512
15301;4;97;13100;2;8;500;128;512
11242;1;91;11200;2;8;500;128;512
11242;2;97;11200;2;8;500;128;512
11842;1;93;11820;2;8;500;128;512
11754;1;96;11820;2;8;500;128;512
11754;2;99;11820;2;8;500;128;512
11844;1;89;11820;2;8;500;128;512
11898;1;93;11820;2;8;500;128;512
11899;1;79;11820;2;8;500;128;512
11755;1;79;11820;2;8;500;128;512
11755;2;80;11820;2;8;500;128;512
11755;3;96;11820;2;8;500;128;512
11755;4;97;11820;2;8;500;128;512
11762;1;86;11820;2;8;500;128;512
11762;2;88;11820;2;8;500;128;512
11762;3;91;11820;2;8;500;128;512
11762;4;96;11820;2;8;500;128;512
11762;5;67;11820;2;8;500;128;512
11762;6;68;11820;2;8;500;128;512
11762;7;71;11820;2;8;500;128;512
11762;8;87;11820;2;8;500;128;512
12100;1;76;11820;2;8;500;128;512
12100;2;83;11820;2;8;500;128;512
12100;3;96;11820;2;8;500;128;512
12100;4;97;11820;2;8;500;128;512
12200;1;77;11820;2;8;500;128;512
12200;2;89;11820;2;8;500;128;512
12300;1;82;11820;2;8;500;128;512
12300;2;86;11820;2;8;500;128;512
12300;3;98;11820;2;8;500;128;512
12600;1;83;11820;2;8;500;128;512
12600;2;88;11820;2;8;500;128;512
12600;3;98;11820;2;8;500;128;512
12600;4;99;11820;2;8;500;128;512
12700;1;97;11820;2;8;500;128;512
12210;1;86;11820;2;8;500;128;512
12210;2;90;11820;2;8;500;128;512
12210;3;99;11820;2;8;500;128;512
12310;1;68;11820;2;8;500;128;512
12310;2;92;11820;2;8;500;128;512
12150;1;97;11820;2;8;500;128;512
12250;1;91;11820;2;8;500;128;512
12350;1;96;11820;2;8;500;128;512
12252;1;83;11820;2;8;500;128;512
12252;2;84;11820;2;8;500;128;512
12720;1;99;11820;2;8;500;128;512
12620;1;87;11820;2;8;500;128;512
12352;1;90;11820;2;8;500;128;512
12352;2;98;11820;2;8;500;128;512
12152;1;81;11820;2;8;500;128;512
12152;2;90;11820;2;8;500;128;512
12152;3;98;11820;2;8;500;128;512
12621;1;93;11820;2;4;500;128;512
12622;1;111;11820;2;4;500;128;512
12721;1;96;11820;2;4;500;128;512
12722;1;115;11820;2;4;500;128;512
12623;1;78;11820;2;4;500;128;512
12723;1;94;11820;2;4;500;128;512
11764;1;88;11820;1;8;500;128;512
11768;1;79;11820;1;4;500;128;512
11768;2;94;11820;1;4;500;128;512
12899;1;96;11820;2;8;500;128;512
11765;1;96;11820;2;8;500;128;512
11765;2;97;11820;2;8;500;128;512
11775;1;86;11820;2;8;500;128;512
11775;2;97;11820;2;8;500;128;512
12880;1;93;11820;2;8;500;128;512
11766;1;83;11820;2;8;500;128;512
11766;2;97;11820;2;8;500;128;512
11776;1;96;11820;2;8;500;128;512
11767;1;95;11820;1;8;500;128;512
11785;1;92;11820;1;8;500;128;512
11795;1;99;11820;1;8;500;128;512
12890;1;83;11820;1;8;500;128;512
12890;2;99;11820;1;8;500;128;512
11777;1;95;11820;2;4;500;128;512
12891;1;91;11820;1;4;500;128;512
12892;1;81;11820;2;4;500;128;512
15310;1;99;13100;1;8;500;128;512
11768;1;85;11820;2;4;500;128;512
12893;1;97;11820;2;8;500;128;512
11797;1;95;11820;1;8;500;128;512
15312;1;88;13100;1;8;500;128;512
11787;1;96;11820;1;8;500;128;512
11788;1;90;11820;2;8;500;128;512
11798;1;84;11820;2;8;500;128;512
15313;1;78;13100;2;8;500;128;512
12783;1;74;11820;2;8;500;128;512
12783;2;96;11820;2;8;500;128;512
12785;1;93;11820;2;8;500;128;512
22785;1;57;11820;2;8;500;128;512
22785;2;83;11820;2;8;500;128;512
22785;3;99;11820;2;8;500;128;512
12893;1;74;11820;2;8;500;128;512
12893;2;80;11820;2;8;500;128;512
12894;1;80;11820;1;8;500;128;512
15323;1;83;11820;2;8;500;128;512
15324;1;96;11820;1;8;500;128;512
